timestamp,price,market_cap,volume_24h,circulating_supply,price_change_24h,bullish_sentiment,bearish_sentiment
2026-02-27 05:58:49,"$66,651.36",$1.33T,$42.08B,19.99M BTC,2.39% (24h),,
2026-02-27 06:31:29,"$66,514.29",$1.32T,$42.54B,19.99M BTC,2.42% (24h),,
2026-02-27 06:55:50,"$66,034.49",$1.32T,$42.48B,19.99M BTC,2.89% (24h),,
2026-02-27 07:38:59,"$65,948.83",$1.31T,$43.97B,19.99M BTC,3.21% (24h),,
2026-02-27 08:44:22,"$66,019.05",$1.32T,$45.24B,19.99M BTC,2.97% (24h),,
2026-02-27 09:28:49,"$66,041.00",$1.32T,$45.03B,19.99M BTC,3.04% (24h),,
2026-02-27 10:07:03,"$66,144.98",$1.32T,$44.36B,19.99M BTC,2.17% (24h),,
2026-02-27 10:51:12,"$66,171.86",$1.32T,$43.15B,19.99M BTC,1.83% (24h),,
2026-02-27 11:24:44,"$65,977.73",$1.31T,$42.64B,19.99M BTC,1.93% (24h),,
2026-02-27 12:02:31,"$65,541.12",$1.31T,$41.95B,19.99M BTC,1.78% (24h),,
2026-02-27 12:50:21,"$65,433.56",$1.3T,$41.88B,19.99M BTC,1.95% (24h),,
2026-02-27 13:23:32,"$65,462.18",$1.3T,$41.63B,19.99M BTC,2.13% (24h),,
2026-02-27 14:09:01,"$65,240.87",$1.3T,$41.07B,19.99M BTC,3.36% (24h),,
2026-02-27 14:45:43,"$65,341.66",$1.3T,$40.49B,19.99M BTC,3.15% (24h),,
2026-02-27 15:02:53,"$65,516.76",$1.31T,$40.38B,19.99M BTC,3.22% (24h),,
2026-02-27 15:41:27,"$65,616.78",$1.31T,$39.98B,19.99M BTC,2.67% (24h),,
2026-02-27 16:01:06,"$65,557.43",$1.31T,$40.05B,19.99M BTC,2.69% (24h),,
2026-02-27 16:34:21,"$65,639.19",$1.31T,$39.8B,19.99M BTC,2.63% (24h),,
2026-02-27 16:56:32,"$65,437.39",$1.3T,$40.02B,19.99M BTC,3.08% (24h),,
2026-02-27 17:16:37,"$65,609.40",$1.31T,$39.74B,19.99M BTC,2.86% (24h),,
2026-02-27 17:47:41,"$65,645.13",$1.31T,$40.09B,19.99M BTC,2.86% (24h),,
2026-02-27 18:01:15,"$65,569.66",$1.31T,$40.26B,19.99M BTC,2.87% (24h),,
2026-02-27 18:30:19,"$65,878.26",$1.31T,$40.53B,19.99M BTC,2.53% (24h),,
2026-02-27 18:49:27,"$65,882.57",$1.31T,$40.47B,19.99M BTC,2.37% (24h),,
2026-02-27 19:00:46,"$65,852.53",$1.31T,$39.69B,19.99M BTC,2.4% (24h),,
2026-02-27 21:06:29,"$65,835.17",$1.31T,$39.01B,19.99M BTC,2.39% (24h),,
2026-02-27 23:02:57,"$65,799.65",$1.31T,$37.97B,19.99M BTC,2.72% (24h),,
2026-02-28 00:02:14,"$65,662.02",$1.31T,$36.91B,19.99M BTC,3.13% (24h),,
2026-02-28 00:45:20,"$65,564.35",$1.31T,$36.42B,19.99M BTC,3.36% (24h),,
2026-02-28 01:03:08,"$65,568.90",$1.31T,$36.36B,19.99M BTC,3.21% (24h),,
2026-02-28 01:55:44,"$63,351.90",$1.26T,$38.78B,19.99M BTC,6.45% (24h),,
2026-02-28 02:22:08,"$63,628.68",$1.27T,$40.89B,19.99M BTC,5.9% (24h),,
2026-02-28 02:46:24,"$63,975.40",$1.27T,$41.93B,19.99M BTC,5.26% (24h),,
2026-02-28 02:57:57,"$63,884.97",$1.27T,$42.05B,19.99M BTC,5.62% (24h),,
2026-02-28 03:23:29,"$63,552.47",$1.27T,$42.31B,19.99M BTC,6.47% (24h),,
2026-02-28 03:50:49,"$63,598.33",$1.27T,$42.1B,19.99M BTC,6.45% (24h),,
2026-02-28 04:04:21,"$63,548.36",$1.27T,$42.46B,19.99M BTC,6.41% (24h),,
2026-02-28 04:38:22,"$63,629.00",$1.27T,$41.49B,19.99M BTC,6.18% (24h),,
2026-02-28 04:53:14,"$63,678.14",$1.27T,$41.53B,19.99M BTC,5.49% (24h),,
2026-02-28 05:16:34,"$63,569.87",$1.27T,$42.02B,19.99M BTC,5.03% (24h),,
2026-02-28 05:43:45,"$63,961.72",$1.27T,$40.71B,19.99M BTC,4.14% (24h),,
2026-02-28 05:58:20,"$63,969.69",$1.27T,$41.66B,19.99M BTC,4% (24h),,
2026-02-28 06:16:56,"$64,095.95",$1.28T,$41.95B,19.99M BTC,3.82% (24h),,
2026-02-28 06:34:18,"$64,204.77",$1.28T,$41.59B,19.99M BTC,3.38% (24h),,
2026-02-28 06:49:16,"$64,044.17",$1.28T,$41.53B,19.99M BTC,3.08% (24h),,
2026-02-28 06:56:53,"$63,892.53",$1.27T,$41.47B,19.99M BTC,3.23% (24h),,
2026-02-28 07:28:51,"$63,978.62",$1.27T,$40.73B,19.99M BTC,3.07% (24h),,
2026-02-28 08:13:11,"$64,034.17",$1.28T,$39.69B,19.99M BTC,3.06% (24h),,
2026-02-28 08:50:25,"$64,462.11",$1.28T,$39.27B,19.99M BTC,2.55% (24h),,
2026-02-28 09:01:29,"$65,277.91",$1.3T,$39.75B,19.99M BTC,1.5% (24h),,
2026-02-28 09:28:29,"$64,796.55",$1.29T,$40.84B,19.99M BTC,1.9% (24h),,
2026-02-28 09:47:43,"$64,970.07",$1.29T,$40.8B,19.99M BTC,1.22% (24h),,
2026-02-28 09:58:50,"$64,445.29",$1.28T,$40.42B,19.99M BTC,2.15% (24h),N/A,N/A
